Column,  (Number) from top,"Year, Vintage, or NV",Name,Type
20.0,22,2001,Troplong Mondot - Saint Emilion,B
20.0,23,2001,Troplong Mondot - Saint Emilion,B
20.0,24,2001,Troplong Mondot - Saint Emilion,B
20.0,25,2001,Troplong Mondot - Saint Emilion,B
,,,,
,,,,
,,Column 21,,
,,,,
,No,,,
21.0,1,,,
21.0,2,,,
21.0,3,2016,A. Rafanelli,C
21.0,4,2016,A. Rafanelli,C
21.0,5,2016,A. Rafanelli,C
21.0,6,2016,A. Rafanelli,C
21.0,7,2016,A. Rafanelli,C
21.0,8,2016,A. Rafanelli,C
21.0,9,2016,A. Rafanelli,C
21.0,10,2016,A. Rafanelli,C
21.0,11,2016,A. Rafanelli,C
21.0,12,2016,A. Rafanelli,C
21.0,13,2016,A. Rafanelli,C
21.0,14,2016,A. Rafanelli,C
,,,,
21.0,15,1989,Haut-Marbuzet - Saint Estephe,B
21.0,16,1989,Haut-Marbuzet - Saint Estephe,B
21.0,17,1989,Haut-Marbuzet - Saint Estephe,B
21.0,18,1989,Haut-Marbuzet - Saint Estephe,B
21.0,19,1989,Haut-Marbuzet - Saint Estephe,B
21.0,20,1989,Haut-Marbuzet - Saint Estephe,B
21.0,21,1989,Haut-Marbuzet - Saint Estephe,B
21.0,22,1988,Prieure-Lichine - Margaux,B
21.0,23,1988,Prieure-Lichine - Margaux,B
21.0,24,1988,Prieure-Lichine - Margaux,B
21.0,25,1988,Prieure-Lichine - Margaux,B
,,,,
,,,,
,,Column 22,,
,,,,
,No,,,
22.0,1,,,
22.0,2,1995,Clos du Marquis - Saint Julien,B
22.0,3,1995,Clos du Marquis - Saint Julien,B
22.0,4,1995,Clos du Marquis - Saint Julien,B
22.0,5,1995,Clos du Marquis - Saint Julien,B
22.0,6,1995,Clos du Marquis - Saint Julien,B
22.0,7,1995,Clos du Marquis - Saint Julien,B
22.0,8,1995,Clos du Marquis - Saint Julien,B
22.0,9,1995,Clos du Marquis - Saint Julien,B
22.0,10,,,
22.0,11,1988,Haut-Bages Liberal - Pauillac,B
22.0,12,1988,Haut-Bages Liberal - Pauillac,B
22.0,13,1988,Haut-Bages Liberal - Pauillac,B
22.0,14,1994,Marquis de Las Cases Leoville - Saint Julien,B
,,,,
